Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Manila,PM2.5 - Principal,1/1/2024 1:00,2024,1,1,1,102.1,184,Unhealthy,177.5,UG/M3,1 Hr,Missing
Manila,PM2.5 - Principal,1/1/2024 2:00,2024,1,1,2,117.3,194,Unhealthy,132.5,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,1/1/2024 3:00,2024,1,1,3,121.3,197,Unhealthy,125.2,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,1/1/2024 4:00,2024,1,1,4,91.7,176,Unhealthy,62.2,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,1/1/2024 5:00,2024,1,1,5,59.8,154,Unhealthy,27.9,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,1/1/2024 6:00,2024,1,1,6,54.2,147,Unhealthy for Sensitive Groups,48.6,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,1/1/2024 7:00,2024,1,1,7,94.4,178,Unhealthy,134.5,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,1/1/2024 8:00,2024,1,1,8,123.6,199,Unhealthy,152.9,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,1/1/2024 9:00,2024,1,1,9,90.4,175,Unhealthy,57.1,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,1/1/2024 10:00,2024,1,1,10,70.9,162,Unhealthy,51.5,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,1/1/2024 11:00,2024,1,1,11,72.7,163,Unhealthy,74.4,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,1/1/2024 12:00,2024,1,1,12,57.7,153,Unhealthy,42.8,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,1/1/2024 13:00,2024,1,1,13,52,142,Unhealthy for Sensitive Groups,46.2,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,1/1/2024 14:00,2024,1,1,14,40.2,113,Unhealthy for Sensitive Groups,28.4,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,1/1/2024 15:00,2024,1,1,15,28.7,88,Moderate,17.2,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,1/1/2024 16:00,2024,1,1,16,16.8,65,Moderate,4.9,UG/M3,1 Hr,Valid
