Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Rangoon,PM2.5 - Principal,1/1/2024 2:00,2024,1,1,2,50.1,137,Unhealthy for Sensitive Groups,53,UG/M3,1 Hr,Valid
Rangoon,PM2.5 - Principal,1/1/2024 3:00,2024,1,1,3,55,149,Unhealthy for Sensitive Groups,60,UG/M3,1 Hr,Valid
Rangoon,PM2.5 - Principal,1/1/2024 4:00,2024,1,1,4,51,139,Unhealthy for Sensitive Groups,47,UG/M3,1 Hr,Valid
Rangoon,PM2.5 - Principal,1/1/2024 5:00,2024,1,1,5,45,124,Unhealthy for Sensitive Groups,39,UG/M3,1 Hr,Valid
Rangoon,PM2.5 - Principal,1/1/2024 6:00,2024,1,1,6,63,156,Unhealthy,81,UG/M3,1 Hr,Valid
Rangoon,PM2.5 - Principal,1/1/2024 7:00,2024,1,1,7,54.5,148,Unhealthy for Sensitive Groups,46,UG/M3,1 Hr,Valid
Rangoon,PM2.5 - Principal,1/1/2024 8:00,2024,1,1,8,46.2,127,Unhealthy for Sensitive Groups,38,UG/M3,1 Hr,Valid
Rangoon,PM2.5 - Principal,1/1/2024 9:00,2024,1,1,9,50.6,138,Unhealthy for Sensitive Groups,55,UG/M3,1 Hr,Valid
Rangoon,PM2.5 - Principal,1/1/2024 10:00,2024,1,1,10,35.7,101,Unhealthy for Sensitive Groups,21,UG/M3,1 Hr,Valid
Rangoon,PM2.5 - Principal,1/1/2024 11:00,2024,1,1,11,29.8,90,Moderate,24,UG/M3,1 Hr,Valid
Rangoon,PM2.5 - Principal,1/1/2024 12:00,2024,1,1,12,23.9,79,Moderate,18,UG/M3,1 Hr,Valid
Rangoon,PM2.5 - Principal,1/1/2024 13:00,2024,1,1,13,21.9,75,Moderate,20,UG/M3,1 Hr,Valid
Rangoon,PM2.5 - Principal,1/1/2024 14:00,2024,1,1,14,18.9,69,Moderate,16,UG/M3,1 Hr,Valid
Rangoon,PM2.5 - Principal,1/1/2024 15:00,2024,1,1,15,16.9,66,Moderate,15,UG/M3,1 Hr,Valid
Rangoon,PM2.5 - Principal,1/1/2024 16:00,2024,1,1,16,18.4,68,Moderate,20,UG/M3,1 Hr,Valid
Rangoon,PM2.5 - Principal,1/1/2024 17:00,2024,1,1,17,32.2,94,Moderate,46,UG/M3,1 Hr,Valid
Rangoon,PM2.5 - Principal,1/1/2024 18:00,2024,1,1,18,56.6,152,Unhealthy,81,UG/M3,1 Hr,Valid
Rangoon,PM2.5 - Principal,1/1/2024 19:00,2024,1,1,19,91.3,176,Unhealthy,126,UG/M3,1 Hr,Valid
Rangoon,PM2.5 - Principal,1/1/2024 20:00,2024,1,1,20,94.1,178,Unhealthy,97,UG/M3,1 Hr,Valid
Rangoon,PM2.5 - Principal,1/1/2024 21:00,2024,1,1,21,81,169,Unhealthy,68,UG/M3,1 Hr,Valid
Rangoon,PM2.5 - Principal,1/1/2024 22:00,2024,1,1,22,74,164,Unhealthy,67,UG/M3,1 Hr,Valid
Rangoon,PM2.5 - Principal,1/1/2024 23:00,2024,1,1,23,78,167,Unhealthy,82,UG/M3,1 Hr,Valid
