Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Vientiane,PM2.5 - Principal,1/1/2024 1:00,2024,1,1,1,4.9,27,Good,6,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,1/1/2024 2:00,2024,1,1,2,5.9,33,Good,7,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,1/1/2024 3:00,2024,1,1,3,8.9,49,Good,12,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,1/1/2024 4:00,2024,1,1,4,45.9,127,Unhealthy for Sensitive Groups,83,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,1/1/2024 5:00,2024,1,1,5,64.5,157,Unhealthy,83,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,1/1/2024 6:00,2024,1,1,6,83.2,170,Unhealthy,102,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,1/1/2024 7:00,2024,1,1,7,80.6,169,Unhealthy,78,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,1/1/2024 8:00,2024,1,1,8,85.8,172,Unhealthy,91,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,1/1/2024 9:00,2024,1,1,9,78.4,167,Unhealthy,71,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,1/1/2024 10:00,2024,1,1,10,70.2,161,Unhealthy,62,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,1/1/2024 11:00,2024,1,1,11,64.6,157,Unhealthy,59,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,1/1/2024 12:00,2024,1,1,12,54.8,149,Unhealthy for Sensitive Groups,45,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,1/1/2024 13:00,2024,1,1,13,41.9,117,Unhealthy for Sensitive Groups,29,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,1/1/2024 14:00,2024,1,1,14,35.9,102,Unhealthy for Sensitive Groups,30,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,1/1/2024 15:00,2024,1,1,15,36.9,104,Unhealthy for Sensitive Groups,38,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,1/1/2024 16:00,2024,1,1,16,32.9,95,Moderate,29,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,1/1/2024 17:00,2024,1,1,17,42.4,118,Unhealthy for Sensitive Groups,52,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,1/1/2024 18:00,2024,1,1,18,33.7,97,Moderate,25,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,1/1/2024 19:00,2024,1,1,19,26.3,83,Moderate,19,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,1/1/2024 20:00,2024,1,1,20,22.1,75,Moderate,18,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,1/1/2024 21:00,2024,1,1,21,16.5,65,Moderate,11,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,1/1/2024 22:00,2024,1,1,22,13.2,59,Moderate,10,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,1/1/2024 23:00,2024,1,1,23,12.6,58,Moderate,12,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,2/1/2024 0:00,2024,1,2,0,11.8,56,Moderate,11,UG/M3,1 Hr,Valid
